ID: 5, product_id: 104, sales_date: 2024-12-04, quantity_sold: 80, total_revenue: 1600.0
ID: 6, product_id: 102, sales_date: 2024-12-05, quantity_sold: 45, total_revenue: 900.0
ID: 7, product_id: 105, sales_date: 2024-12-06, quantity_sold: 55, total_revenue: 1100.0
ID: 8, product_id: 106, sales_date: 2024-12-07, quantity_sold: 120, total_revenue: 2400.0
ID: 9, product_id: 107, sales_date: 2024-12-08, quantity_sold: 20, total_revenue: 400.0
ID: 10, product_id: 101, sales_date: 2024-12-09, quantity_sold: 150, total_revenue: 3000.0
ID: 11, product_id: 108, sales_date: 2024-12-10, quantity_sold: 65, total_revenue: 1300.0
ID: 12, product_id: 109, sales_date: 2024-12-11, quantity_sold: 90, total_revenue: 1800.0
ID: 13, product_id: 110, sales_date: 2024-12-12, quantity_sold: 140, total_revenue: 2800.0
ID: 14, product_id: 111, sales_date: 2024-12-13, quantity_sold: 110, total_revenue: 2200.0
ID: 15, product_id: 112, sales_date: 2024-12-14, quantity_sold: 130, total_revenue: 2600.0
ID: 16, product_id: 113, sales_date: 2024-12-15, quantity_sold: 70, total_revenue: 1400.0
ID: 17, product_id: 114, sales_date: 2024-12-16, quantity_sold: 95, total_revenue: 1900.0
ID: 18, product_id: 115, sales_date: 2024-12-17, quantity_sold: 30, total_revenue: 600.0
ID: 19, product_id: 116, sales_date: 2024-12-18, quantity_sold: 110, total_revenue: 2200.0
ID: 20, product_id: 117, sales_date: 2024-12-19, quantity_sold: 45, total_revenue: 900.0
ID: 21, product_id: 118, sales_date: 2024-12-20, quantity_sold: 75, total_revenue: 1500.0
ID: 22, product_id: 119, sales_date: 2024-12-21, quantity_sold: 95, total_revenue: 1900.0
ID: 23, product_id: 120, sales_date: 2024-12-22, quantity_sold: 100, total_revenue: 2000.0
ID: 24, product_id: 121, sales_date: 2024-12-23, quantity_sold: 50, total_revenue: 1000.0
ID: 25, product_id: 122, sales_date: 2024-12-24, quantity_sold: 125, total_revenue: 2500.0
ID: 26, product_id: 123, sales_date: 2024-12-25, quantity_sold: 60, total_revenue: 1200.0
ID: 27, product_id: 124, sales_date: 2024-12-26, quantity_sold: 85, total_revenue: 1700.0
ID: 28, product_id: 125, sales_date: 2024-12-27, quantity_sold: 50, total_revenue: 1000.0
ID: 29, product_id: 126, sales_date: 2024-12-28, quantity_sold: 40, total_revenue: 800.0
ID: 30, product_id: 127, sales_date: 2024-12-29, quantity_sold: 130, total_revenue: 2600.0
